#
#
# US Geological Survey
# retrieved: 2020-01-25 17:36:39 EST
# URL: https://nwis.waterdata.usgs.gov/co/nwis/current
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in Colorado.
#
# The following selected fields are included in this output:
#
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  lat_va          -- DMS latitude
#  long_va         -- DMS longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  coord_datum_cd  -- Latitude-longitude datum
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  state_cd        -- State code
#  map_nm          -- Name of location map
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#  basin_cd        -- Drainage basin code
#  peak_begin_date -- Peak-streamflow data begin date
#  peak_end_date   -- Peak-streamflow data end date
#  peak_count_nu   -- Peak-streamflow data count
#
#
# query started 2020-01-25 17:36:39 EST
#
# there are 339 sites matching the search criteria.
#
#
site_no	station_nm	lat_va	long_va	coord_acy_cd	coord_datum_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	state_cd	map_nm	alt_va	alt_acy_va	alt_datum_cd	huc_cd	basin_cd	peak_begin_date	peak_end_date	peak_count_nu
07119500	APISHAPA RIVER NEAR FOWLER, CO	380630.6	1035803.4	S	NAD83	38.10850000	-103.96761110	S	NAD83	08	ELDER, CO	 4290			11020007	co02	1922-08-02	2019-07-22	85
07119700	ARKANSAS RIVER AT CATLIN DAM, NEAR FOWLER, CO.	380733	1035441	F	NAD27	38.12583934	-103.91190060	F	NAD83	08		 4245.92			11020005	co02	1965-06-18	2007-06-27	43
07120500	ARKANSAS RIVER NEAR ROCKY FORD, CO.	380355	1034108	R	NAD27	38.06528559	-103.68605930	R	NAD83	08	ROCKY FORD	 4150			11020005	co02	1898-07-14	1903-06-10	5
07121500	TIMPAS CREEK AT MOUTH NEAR SWINK, CO.	380011	1033920	F	NAD27	38.00306440	-103.65605880	F	NAD83	08		 4120.00			11020005	co02	1922-08-01	2018-08-08	56
07124000	ARKANSAS RIVER AT LAS ANIMAS, CO.	380451	1031309	F	NAD27	38.08083990	-103.21965230	F	NAD83	08		 3883.97			11020009	co02	1939-05-26	2019-06-26	80
07124200	PURGATOIRE RIVER AT MADRID, CO.	370746	1043822	F	NAD27	37.12946459	-104.63998880	F	NAD83	08		 6261.61			11020010	co02	1972-09-01	2018-08-18	46
07124410	PURGATOIRE RIVER BELOW TRINIDAD LAKE, CO.	370838	1043250	F	NAD27	37.14390846	-104.54776440	F	NAD83	08		 6073.64			11020010	co02	1977-08-19	2017-10-10	42
07126200	VAN BREMER ARROYO NEAR MODEL, CO	372044	1035727	F	NAD27	37.34557255	-103.95801860	F	NAD83	08		 4960			11020010	co02	1966-07-19	2018-07-23	53
07126300	PURGATOIRE RIVER NEAR THATCHER, CO.	372123	1035359	F	NAD27	37.35640590	-103.90023830	F	NAD83	08	PAINTED CANYON	 4790			11020010	co02	1965-06-18	2018-08-19	54
07126325	TAYLOR ARROYO BL ROCK CROSSING, NR THATCHER, CO.	372527	1035511	F	NAD27	37.42418269	-103.92023820	F	NAD83	08		 4982.00			11020010	co02	1983-04-22	2018-07-26	36
07126390	LOCKWOOD CANYON CREEK NEAR THATCHER, CO	372934	1034939	F	NAD27	37.49279316	-103.82801140	F	NAD83	08		 4785			11020010	co02	1983-04-22	2018-08-07	35
07126415	RED ROCK CANYON CREEK AT MOUTH NR THATCHER, CO.	373055	1034330	F	NAD27	37.51529314	-103.72550710	F	NAD83	08		 4510			11020010	co02	1983-08-13	2018-08-07	36
07126480	BENT CANYON CREEK AT MOUTH NEAR TIMPAS, CO	373521	1033852	F	NAD27	37.58918109	-103.64828150	F	NAD83	08	O V MESA, CO	 4402			11020010	co02	1984-08-21	2018-07-23	34
07126485	PURGATOIRE RIVER AT ROCK CROSSING NR TIMPAS, CO.	373706	1033535	R	NAD27	37.61834740	-103.59355700	R	NAD83	08		 4350			11020010	co02	1983-06-06	2018-08-07	36
07128500	PURGATOIRE RIVER NEAR LAS ANIMAS, CO	380203.2	1031205.1	F	NAD83	38.03422220	-103.20141670	F	NAD83	08		 3878.04			11020010	co02	1922-07-30	2019-07-23	81
07130500	ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.	380359	1025555	F	NAD27	38.06639635	-102.93242280	F	NAD83	08		 3737.40			11020009	co02	1938-07-18	2019-07-02	82
07133000	ARKANSAS RIVER AT LAMAR, CO	380620.85	1023705.54	5	NAD83	38.10579167	-102.61820560	5	NAD83	08	LAMAR EAST, CO	 3597.39			11020009	co02	1913-06-07	2019-07-01	100
07134100	BIG SANDY CREEK NEAR LAMAR, CO.	380651	1022900	F	NAD27	38.11417565	-102.48380230	F	NAD83	08		 3545.00			11020011	co02	1968-05-05	2019-08-23	39
07134180	ARKANSAS RIVER NEAR GRANADA, CO.	380544	1021837	F	NAD27	38.09556490	-102.31074530	F	NAD83	08		 3480.00			11020009		1982-06-05	2019-07-01	38
07134990	WILD HORSE CREEK ABOVE HOLLY, CO	380325.30	1020818.50	5	NAD83	38.05702778	-102.13847220	5	NAD83	08	HOLLY WEST, CO	 3405			11020009	co02	1996-05-26	2019-04-16	24
07137000	FRONTIER DITCH NR COOLIDGE, KS	380218	1020219	M	NAD27	38.03834599	-102.03907140	M	NAD83	20		 3343.12			11030001	co07	--	--	0
07137500	ARKANSAS R NR COOLIDGE, KS	380139	1020040	M	NAD27	38.02751290	-102.01157060	M	NAD83	20		 3330.84			11030001	co07	1903-06-11	2017-07-29	68
08227000	SAGUACHE CREEK NEAR SAGUACHE, CO	380948	1061724	F	NAD27	38.16333294	-106.29058300	F	NAD83	08	LAKE MOUNTAIN NE, CO	 8030			13010004		1911-07-03	2007-06-04	88
09010500	COLORADO RIVER BELOW BAKER GULCH NR GRAND LAKE, CO	401933	1055122	S	NAD27	40.32581784	-105.85667910	S	NAD83	08	GRAND LAKE, CO	 8750			14010001	co04	1953-06-13	2018-05-27	66
09014050	GRAND LAKE OUTLET BLW CHIPMUNK LN AT GRAND LK, CO	401446.0	1054943.8	5	NAD83	40.24611110	-105.82883330	5	NAD83	08	SHADOW MOUNTAIN, CO	 8365			14010001	co04	--	--	0
09015000	COLORADO RIVER BL SHADOW MOUNTAIN RESERVOIR, CO.	401218.70	1055015.22	S	NAD83	40.20519444	-105.83756110	S	NAD83	08	SHADOW MOUNTAIN, CO	 8332			14010001	co04	1948-05-24	2018-05-18	16
09019000	COLORADO RIVER BELOW LAKE GRANBY, CO.	400839	1055200	F	NAD27	40.14415240	-105.86723480	F	NAD83	08	SHADOW MOUNTAIN, CO	 8055			14010001		1951-06-13	1982-06-01	32
09019500	COLORADO RIVER NEAR GRANBY, CO	400715	1055400	F	NAD27	40.12081915	-105.90056940	F	NAD83	08	GRANBY, CO	 7960			14010001	co04	1908-06-17	2018-07-23	81
09021000	WILLOW CREEK BELOW WILLOW CREEK RESERVOIR, CO.	400845	1055622	F	NAD27	40.14581899	-105.94001560	F	NAD83	08		 8023.64			14010001	co04	1953-08-03	2018-05-11	31
09022000	FRASER RIVER AT UPPER STA, NEAR WINTER PARK, CO.	395045	1054505	S	NAD27	39.84582040	-105.75195070	S	NAD83	08		 9520.00			14010001	co04	1969-05-30	2018-05-27	39
09024000	FRASER RIVER AT WINTER PARK, CO.	395400	1054634	F	NAD27	39.89998695	-105.77667410	F	NAD83	08		 8906.23			14010001	co04	1911-07-05	2018-05-31	108
09025000	VASQUEZ CREEK AT WINTER PARK, CO	395513	1054705	F	NAD27	39.92026468	-105.78528570	F	NAD83	08		 8768.48			14010001	co04	1935-06-15	2018-05-31	84
09025300	ELK CREEK AT UPPER STATION, NEAR FRASER, CO	395322	1054955	S	NAD27	39.88943120	-105.83250980	S	NAD83	08	FRASER, CO	 9400			14010001	co04	1997-06-10	2018-06-05	22
09026500	ST. LOUIS CREEK NEAR FRASER, CO.	395436	1055240	F	NAD27	39.90998657	-105.87834510	F	NAD83	08		 8980.17			14010001	co04	1935-06-15	2019-06-30	85
09027100	FRASER RIVER AT TABERNASH, CO	395925.2	1054947.2	5	NAD83	39.99033330	-105.82977780	5	NAD83	08	FRASER, CO	 8350			14010001	co04	2011-07-01	2018-06-01	8
09032000	RANCH CREEK NEAR FRASER, CO.	395700	1054554	M	NAD27	39.94998694	-105.76556270	M	NAD83	08		 8660			14010001	co04	1935-06-15	2018-05-31	84
09032050	LITTLE CABIN CREEK NEAR TABERNASH, CO	395828.36	1054422.33	M	NAD83	39.97454444	-105.73953610	M	NAD83	08	EAST PORTAL, CO	 9562			14010001	co04	2018-08-03	2018-08-03	1
09032100	CABIN CREEK NEAR FRASER, CO.	395909	1054440	M	NAD27	39.98582030	-105.74500640	M	NAD83	08		 9560.00			14010001	co04	1984-06-13	2018-05-30	35
09032200	HAMILTON CREEK NEAR TABERNASH, CO	395950.20	1054448.50	M	NAD83	39.99727778	-105.74680560	M	NAD83	08	EAST PORTAL, CO	 9581			14010001	co04	2018-07-12	2018-07-12	1
09032300	HURD CREEK NEAR TABERNASH, CO	400047.7	1054542.1	M	NAD83	40.01325000	-105.76169440	M	NAD83	08	STRAWBERRY LAKE, CO	 9649			14010001	co04	2018-08-03	2019-06-18	2
09032990	MEADOW CREEK BLW MEADOW CREEK RES NR TABERNASH, CO	400307.3	1054515.0	M	NAD83	40.05202778	-105.75416670	M	NAD83	08	STRAWBERRY LAKE, CO	 9900			14010001	co04	2018-09-18	2018-09-18	1
09033010	MEADOW CREEK DIVERSION NEAR TABERNASH, CO	400301.03	1054646.94	M	NAD83	40.05028610	-105.77970560	M	NAD83	08		 9754			14010001	co04	2018-07-12	2019-06-30	2
09033100	RANCH CREEK BLW MEADOW CR NR TABERNASH, CO	395956.42	1054941.14	S	NAD83	39.99900556	-105.82809440	S	NAD83	08	FRASER	 8350			14010001	co04	1998-06-02	2018-06-01	13
09033300	FRASER RIVER BLW CROOKED CR AT TABERNASH CO	400024.81	1055053.78	M	NAD83	40.00689167	-105.84827220	M	NAD83	08	STRAWBERRY LAKE, CO	 8274			14010001		1999-06-24	2018-06-01	20
09034250	COLORADO RIVER AT WINDY GAP, NEAR GRANBY, CO.	400630	1060013	F	NAD27	40.10831900	-106.00418470	F	NAD83	08		 7790.00			14010001	co04	1982-07-03	2019-07-15	38
09034900	BOBTAIL CREEK NEAR JONES PASS, CO	394537	1055421	F	NAD27	39.76026447	-105.90640140	F	NAD83	08	BYERS PEAK, CO	 10430			14010001	co04	1966-05-30	2019-07-01	54
09035500	WILLIAMS FORK BELOW STEELMAN CREEK, CO.	394644	1055540	F	NAD27	39.77887549	-105.92834690	F	NAD83	08		 9800.00			14010001	co04	1934-05-30	2019-06-30	62
09035700	WILLIAMS FORK ABOVE DARLING CREEK, NEAR LEAL, CO	394749.9	1060132.3	S	NAD83	39.79719444	-106.02563890	S	NAD83	08	UTE PEAK, CO	 8940			14010001	co04	1966-05-31	2019-06-30	54
09035900	SOUTH FORK OF WILLIAMS FORK NEAR LEAL, CO	394745	1060148	S	NAD27	39.79581958	-106.03057340	S	NAD83	08	UTE PEAK, CO	 8950			14010001	co04	1966-06-02	2019-06-30	54
09036000	WILLIAMS FORK NEAR LEAL, CO.	395002	1060321	M	NAD27	39.83387500	-106.05640790	M	NAD83	08		 8790.00			14010001	co04	1934-05-30	2019-07-01	86
09037500	WILLIAMS FORK NEAR PARSHALL, CO	400000.72	1061049.32	5	NAD83	40.00020000	-106.18036670	5	NAD83	08	PARSHALL, CO	 7808.95			14010001	co04	1905-06-09	2018-05-13	105
09038500	WILLIAMS FORK BELOW WILLIAMS FORK RESERVOIR, CO	400209.34	1061218.05	F	NAD83	40.03592778	-106.20501390	F	NAD83	08		 7615.00			14010001	co04	1949-06-18	2018-06-17	66
09041090	MUDDY CREEK ABOVE ANTELOPE CREEK NR. KREMMLING, CO	401209	1062519	F	NAD27	40.20248440	-106.42253350	F	NAD83	08		 7520			14010001	co04	1990-05-24	2018-05-09	29
09041400	MUDDY CRK BLW WOLFORD MTN RESER. NR KREMMLING, CO	400631	1062448	F	NAD27	40.10859628	-106.41392120	F	NAD83	08	KREMMLING, CO	 7380			14010001	co04	1996-05-20	2019-06-23	24
09041900	MONTE CRISTO DIVERSION NEAR HOOSIER PASS, CO	392251	1060415	F	NAD27	39.38082156	-106.07140820	F	NAD83	08	BRECKENRIDGE, CO	 10986			14010002	co04	--	--	0
09044300	BEMROSE-HOOSIER DIVERSION NEAR HOOSIER PASS, CO	392250	1060413	F	NAD27	39.38054378	-106.07085260	F	NAD83	08	BRECKENRIDGE, CO	 10986			14010002	co04	--	--	0
09044800	MCCULLOUGH-SP-CRYS-DIVERSION NEAR HOOSIER PASS, CO	392251	1060414	F	NAD27	39.38082156	-106.07113040	F	NAD83	08	BRECKENRIDGE, CO	 10986			14010002	co04	--	--	0
09046490	BLUE RIVER AT BLUE RIVER, CO.	392721	1060152	R	NAD27	39.45582067	-106.03168490	R	NAD83	08		 9835			14010002	co04	1984-07-01	2018-05-18	35
09046600	BLUE RIVER NEAR DILLON, CO	393400	1060256	S	NAD27	39.56665329	-106.04946320	S	NAD83	08	FRISCO	 9020			14010002	co04	1958-06-08	2018-05-18	61
09047500	SNAKE RIVER NEAR MONTEZUMA, CO	393619.30	1055635.27	5	NAD83	39.60536110	-105.94313060	5	NAD83	08	KEYSTONE, CO	 9320			14010002	co04	1943-06-09	2018-05-27	71
09047700	KEYSTONE GULCH NEAR DILLON, CO.	393540	1055819	F	NAD27	39.59443117	-105.97251580	F	NAD83	08		 9350.00			14010002	co04	1958-06-05	2018-05-17	61
09050100	TENMILE CREEK BL NORTH TENMILE C, AT FRISCO, CO.	393431	1060636	M	NAD27	39.57526424	-106.11057650	M	NAD83	08		 9100			14010002	co04	1958-05-28	2019-07-01	62
09050700	BLUE RIVER BELOW DILLON, CO.	393732	1060357	S	NAD27	39.62554200	-106.06640820	S	NAD83	08		 8760.00			14010002	co04	1960-06-17	2019-07-06	60
09051050	STRAIGHT CR BLW LASKEY GULCH NR DILLON, CO	393823	1060223	M	NAD27	39.63970870	-106.04029600	M	NAD83	08		 9070			14010002	co04	1987-06-07	2018-05-25	32
09056500	ELLIOTT CREEK FEEDER CANAL TO GREEN MTN RES, CO	395225.41	1061950.15	S	NAD83	39.87372500	-106.33059720	S	NAD83	08	MOUNT POWELL, CO	 8054.92			14010002	co04	1944-06-21	2019-07-01	21
09057500	BLUE RIVER BELOW GREEN MOUNTAIN RESERVOIR, CO	395249	1062000	F	NAD27	39.88026354	-106.33391750	F	NAD83	08	KING CREEK, CO	 7682.66			14010002	co04	1938-06-04	2019-07-04	82
09058000	COLORADO RIVER NEAR KREMMLING, CO	400212	1062622	S	NAD27	40.03665248	-106.44003240	S	NAD83	08	KREMMLING, CO	 7320			14010001	co04	1905-06-04	2018-08-23	70
09058500	PINEY RIVER BELOW PINEY LAKE, NEAR MINTURN, CO.	394229	1062534	S	NAD27	39.70804158	-106.42669680	S	NAD83	08		 9145.25			14010001	co04	1948-05-22	2019-07-01	54
09059500	PINEY RIVER NEAR STATE BRIDGE, CO	394744.60	1063427.65	S	NAD83	39.79572220	-106.57434720	S	NAD83	08	LAVA CREEK, CO	 7272.35			14010001	co04	1945-05-26	2019-06-08	75
09060799	COLORADO RIVER AT CATAMOUNT BRIDGE, CO	395327.96	1064954.10	M	NAD83	39.89110000	-106.83169440	M	NAD83	08	BLUE HILL, CO	 6544			14010001	co04	2017-06-10	2019-07-04	3
09061600	EAST FORK EAGLE RIVER NEAR CLIMAX, CO	392437	1061457	S	NAD27	39.41026540	-106.24974680	S	NAD83	08	COPPER MOUNTAIN, CO	10000.00			14010003	co04	2003-05-29	2019-06-30	17
09063000	EAGLE RIVER AT RED CLIFF, CO.	393030	1062158	S	NAD27	39.50831949	-106.36669480	S	NAD83	08		 8653.80			14010003	co04	1911-05-19	2019-06-14	91
09063900	MISSOURI CREEK NEAR GOLD PARK, CO.	392325	1062810	F	NAD27	39.39026486	-106.47002940	F	NAD83	08		 9980			14010003	co04	1973-06-28	2019-06-30	47
09064000	HOMESTAKE CREEK AT GOLD PARK, CO.	392420	1062558	F	NAD27	39.40554260	-106.43336200	F	NAD83	08		 9200			14010003	co04	1948-06-02	2019-06-30	54
09064600	EAGLE RIVER NEAR MINTURN, CO	393314	1062407	S	NAD27	39.55387495	-106.40252900	S	NAD83	08	MINTURN, CO	 8078.37			14010003	co04	1990-06-07	2019-07-01	30
09065100	CROSS CREEK NEAR MINTURN, CO	393405.85	1062444.75	S	NAD83	39.56829167	-106.41243060	S	NAD83	08	MINTURN, COLO	 7992			14010003	co04	1957-06-30	2019-07-01	58
09065500	GORE CREEK AT UPPER STATION, NEAR MINTURN, CO.	393733	1061639	S	NAD27	39.62581930	-106.27808230	S	NAD83	08		 8600			14010003	co04	1948-05-21	2018-05-25	64
09066000	BLACK GORE CREEK NEAR MINTURN, CO.	393547	1061552	F	NAD27	39.59637495	-106.26502640	F	NAD83	08		 9150.00			14010003	co04	1948-05-22	2018-05-25	64
09066200	BOOTH CREEK NEAR MINTURN, CO.	393854	1061921	M	NAD27	39.64831927	-106.32308330	M	NAD83	08		 8325			14010003	co04	1965-06-16	2018-05-25	54
09066300	MIDDLE CREEK NEAR MINTURN, CO.	393845	1062254	M	NAD27	39.64581930	-106.38225120	M	NAD83	08		 8200			14010003		1965-06-19	2018-05-25	54
09066325	GORE CREEK ABV RED SANDSTONE CREEK AT VAIL, CO	393828	1062339	F	NAD27	39.64109710	-106.39475150	F	NAD83	08	VAIL WEST	 8055			14010003	co04	2000-05-29	2018-05-25	19
09066510	GORE CREEK AT MOUTH NEAR MINTURN, CO	393634	1062650	M	NAD27	39.60943048	-106.44780800	M	NAD83	08	MINTURN, CO	 7730			14010003	co04	1996-05-19	2019-06-30	24
09067000	BEAVER CREEK AT AVON, CO	393747	1063120	S	NAD27	39.62970826	-106.52280960	S	NAD83	08	EDWARDS, CO	 7453			14010003	co04	1974-05-29	2018-06-17	45
09067020	EAGLE R BLW WASTEWATER TREATMENT PLANT AT AVON, CO	393805.5	1063155.0	5	NAD83	39.63486110	-106.53194440	5	NAD83	08	EDWARDS, CO	 7380			14010003	co04	2000-05-30	2019-07-01	20
09067200	LAKE CREEK NEAR EDWARDS, CO	393851	1063631	F	NAD27	39.64748600	-106.60920030	F	NAD83	08	EDWARDS, CO	 7160			14010003	co04	1994-06-01	2019-07-01	26
09070000	EAGLE RIVER BELOW GYPSUM, CO.	393858	1065711	S	NAD27	39.64942954	-106.95365540	S	NAD83	08		 6275.11			14010003	co04	1947-06-21	2019-07-01	73
09070500	COLORADO RIVER NEAR DOTSERO, CO	393840.60	1070440.85	S	NAD83	39.64461110	-107.07801390	S	NAD83	08	DOTSERO, CO	 6130			14010001	co04	1941-05-15	2019-07-01	79
09071750	COLORADO RIVER ABOVE GLENWOOD SPRINGS, CO	393332	1071725	S	NAD27	39.55887110	-107.29088740	S	NAD83	08	GLENWOOD SPRINGS	 5760			14010001	co04	--	--	0
09072550	ROARING FORK RIVER ABV LOST MAN CR NEAR ASPEN, CO	390709.7	1063726.1	S	NAD83	39.11936110	-106.62391670	S	NAD83	08	INDEPENDENCE PASS,CO	 10520			14010004	co04	1981-06-10	1986-06-07	6
09073005	LINCOLN CREEK BELOW GRIZZLY RESERVOIR NR ASPEN, CO	390448.85	1063659.70	5	NAD83	39.08023610	-106.61658330	5	NAD83	08	INDEPENDENCE PASS,CO	 10510			14010004	co04	1981-04-27	2019-07-05	17
09073300	ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.	390828	1064625	F	NAD27	39.14109959	-106.77420390	F	NAD83	08		 8120.00			14010004	co04	1980-06-19	2019-07-06	40
09073400	ROARING FORK RIVER NEAR ASPEN, CO.	391048	1064805	S	NAD27	39.17998755	-106.80198260	S	NAD83	08		 8014.01			14010004	co04	1965-07-01	2019-07-06	55
09073720	HUNTER CREEK FEEDER CONDUIT NEAR ASPEN, CO	391226.96	1064044.82	F	NAD83	39.20748889	-106.67911670	F	NAD83	08		10177.00			14010004	co04	--	--	0
09073721	HUNTER CREEK CONDUIT BYPASS NEAR ASPEN, CO	391227.25	1064049.41	F	NAD83	39.20756944	-106.68039170	F	NAD83	08	THIMBLE ROCK, CO	 10172			14010004		--	--	0
09073790	MIDWAY CREEK FEEDER CONDUIT NEAR ASPEN, CO	391125	1064104	F	NAD27	39.19026580	-106.68503440	F	NAD83	08		10186.20			14010004		--	--	0
09073791	MIDWAY CREEK CONDUIT BYPASS NEAR ASPEN, CO	391127.70	1064109.24	S	NAD83	39.19102778	-106.68590000	S	NAD83	08	THIMBLE ROCK, CO	10181.92			14010004		--	--	0
09073890	NO NAME CREEK FEEDER CONDUIT NEAR ASPEN, CO	391058	1064310	F	NAD27	39.18276570	-106.72003550	F	NAD83	08		10165.50			14010004		--	--	0
09073891	NO NAME CREEK CONDUIT BYPASS NEAR ASPEN, CO	391101.03	1064309.36	F	NAD27	39.18360738	-106.71985770	F	NAD83	08	THIMBLE ROCK, CO	 10158.0			14010004		--	--	0
09074500	HUNTER CREEK AT ASPEN, CO	391148.8	1064908.1	5	NAD83	39.19688889	-106.81891670	5	NAD83	08	ASPEN, COLO.	 7840			14010004	co04	1912-06-07	2019-06-30	11
09076000	MAROON CREEK NEAR ASPEN, CO.	390948.27	1065250.69	F	NAD83	39.16340830	-106.88074720	F	NAD83	08	HIGHLAND PEAK, CO	 8231			14010004	co04	2018-06-01	2018-06-01	1
09076300	ROARING FORK RIVER BLW MAROON CREEK NR ASPEN, CO	391323.52	1065126.31	T	NAD83	39.22320000	-106.85730830	T	NAD83	08	ASPEN, CO	 7575			14010004		2018-07-01	2018-07-01	1
09078141	NORTH CUNNINGHAM CREEK CONDUIT BYPASS NR NORRIE,CO	392009.51	1063237.05	F	NAD27	39.33596219	-106.54421150	F	NAD83	08	NAST, CO	 10077			14010004	co04	--	--	0
09078475	LAST CHANCE CREEK NEAR NORRIE, CO	392038.0	1063923.5	S	NAD83	39.34388889	-106.65652780	S	NAD83	08	MEREDITH, CO	 8550			14010004	co04	2009-05-18	2018-05-25	10
09079450	LIME CREEK NEAR THOMASVILLE, CO	392137.48	1064106.88	S	NAD83	39.36041110	-106.68524440	S	NAD83	08	MEREDITH, CO	 8144			14010004		2009-05-19	2019-06-09	11
09080400	FRYINGPAN RIVER NEAR RUEDI, CO.	392156	1064930	F	NAD27	39.36554075	-106.82559480	F	NAD83	08		 7473.25			14010004	co04	1965-06-18	2019-07-03	55
09081000	ROARING FORK RIVER NEAR EMMA, CO	392224	1070500	S	NAD27	39.37331729	-107.08393670	S	NAD83	08	BASALT, CO	 6470			14010004	co04	1909-06-19	2019-07-02	23
09081600	CRYSTAL RIVER ABV AVALANCHE CRK, NEAR REDSTONE, CO	391357.5	1071339.0	5	NAD83	39.23263889	-107.22750000	5	NAD83	08	REDSTONE, CO	 6905			14010004	co04	1956-06-02	2019-07-01	64
09085000	ROARING FORK RIVER AT GLENWOOD SPRINGS, CO.	393237	1071944	S	NAD27	39.54359307	-107.32949840	S	NAD83	08		 5720.73			14010004	co04	1906-06-14	2018-05-26	111
09085100	COLORADO RIVER BELOW GLENWOOD SPRINGS, CO	393318	1072013	F	NAD27	39.55498190	-107.33755400	F	NAD83	08		 5700.75			14010005	co04	1967-06-05	2019-07-01	52
09085150	COLORADO R ABV SOUTH CANYON CR NR GLENWOOD SPGS CO	393342	1072424	S	NAD83	39.56166667	-107.40666670	S	NAD83	08	STORM KING MTN, CO	 5640			14010005	co04	--	--	0
09095500	COLORADO RIVER NEAR CAMEO, CO.	391421	1081556	S	NAD27	39.23914630	-108.26619460	S	NAD83	08	CAMEO	 4813.73			14010005	co04	1934-05-11	2019-07-02	86
09105000	PLATEAU CREEK NEAR CAMEO, CO	391101	1081606	S	NAD83	39.18361110	-108.26833330	S	NAD83	08	CAMEO, CO	 4840			14010005	co04	1936-05-06	2019-06-14	82
09106150	COLO RIVER BELOW GRAND VALLEY DIV NR PALISADE, CO	390555	1082116	F	NAD27	39.09859226	-108.35508600	F	NAD83	08	PALISADE, CO	 4670			14010005	co04	1991-06-15	2019-06-22	29
09107000	TAYLOR RIVER AT TAYLOR PARK, CO.	385137	1063358	S	NAD27	38.86027127	-106.56669660	S	NAD83	08		 9340.00			14020001	co04	1930-05-30	2019-06-15	37
09109000	TAYLOR RIVER BELOW TAYLOR PARK RESERVOIR, CO.	384906	1063631	F	NAD27	38.81832690	-106.60919770	F	NAD83	08		 9169.67			14020001	co04	1939-07-22	2019-05-24	81
09110000	TAYLOR RIVER AT ALMONT, CO.	383952	1065041	F	NAD27	38.66443715	-106.84531720	F	NAD83	08		 8010.76			14020001	co04	1910-08-01	2019-06-14	110
09110990	ELK CREEK AT COAL CREEK ABV CRESTED BUTTE, CO	385123.94	1070335.18	F	NAD83	38.85665000	-107.05977220	F	NAD83	08	MOUNT AXTELL, CO	 9570			14020001	co04	2018-05-10	2019-06-13	2
09111250	COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO	385217.60	1065907.07	T	NAD83	38.87155556	-106.98529720	T	NAD83	08	CRESTED BUTTE, CO	 8903			14020001	co04	2015-06-11	2019-06-14	5
09112200	EAST RIVER BELOW CEMENT CREEK NR CRESTED BUTTE, CO	384703	1065213	S	NAD27	38.78415990	-106.87087360	S	NAD83	08	CEMENT MOUNTAIN, CO	 8440			14020001	co04	1964-05-21	2019-06-15	37
09112500	EAST RIVER AT ALMONT, CO	383952	1065051	S	NAD27	38.66443715	-106.84809500	S	NAD83	08	ALMONT, CO	 8006.29			14020001	co04	1911-06-11	2019-06-15	97
09113500	OHIO CREEK NEAR BALDWIN, CO.	384210.95	1065959.81	M	NAD83	38.70304167	-106.99994720	M	NAD83	08	FLAT TOP, CO	 8226			14020002	co04	1940-05-10	1981-06-08	26
09113980	OHIO CREEK ABOVE MOUTH NR GUNNISON, CO	383516	1065551	S	NAD27	38.58776960	-106.93143200	S	NAD83	08	GUNNISON, COLO.	 7770			14020002	co04	1999-06-18	2019-06-15	21
09114500	GUNNISON RIVER NEAR GUNNISON, CO.	383231	1065657	F	NAD27	38.54193567	-106.94976610	F	NAD83	08	GUNNISON, CO	 7655			14020002	co04	1911-06-22	2019-06-15	93
09114520	GUNNISON RIVER AT GUNNISON WHITEWATER PARK, CO	383159.78	1065656.71	F	NAD83	38.53327220	-106.94908610	F	NAD83	08	GUNNISON, CO	 7649			14020002	co04	2017-06-09	2019-06-15	3
09115500	TOMICHI CREEK AT SARGENTS, CO	382342.10	1062521.45	S	NAD83	38.39502778	-106.42262500	S	NAD83	08	SARGENTS, CO	 8416			14020003	co04	1917-06-16	2019-06-14	68
09118450	COCHETOPA CREEK BELOW ROCK CREEK NEAR PARLIN, CO	382014	1064625	S	NAD83	38.33722220	-106.77361110	S	NAD83	08		 8470			14020003	co04	1982-08-26	2019-06-16	38
09119000	TOMICHI CREEK AT GUNNISON, CO	383116.0	1065627.45	5	NAD83	38.52111110	-106.94095830	5	NAD83	08	GUNNISON, CO	 7628.58			14020003	co04	1938-06-02	2017-11-22	81
09123450	LAKE FORK BLW LAKE SAN CRISTOBAL NR LAKE CITY, CO	375903.7	1071731.55	M	NAD83	37.98436110	-107.29209720	M	NAD83	08	LAKE SAN CRISTOBAL,	 9000			14020002	co04	2013-05-24	2018-05-11	6
09124010	HENSON CREEK AT LAKE CITY, CO	380132.41	1071858.85	M	NAD83	38.02566944	-107.31634720	M	NAD83	08	LAKE CITY, CO	 8668			14020002	co04	--	--	0
